,0
bb_width,0.06288659945802681
obv,0.059880378100876014
sma_50,0.05926802068125679
macd_signal,0.058947177786369175
volatility_20d,0.05527818190039222
sma_200,0.05357758661651207
ema_12,0.05297767556150883
price_change_1d,0.052044416527725366
sma_20,0.05171980118286355
price_change_20d,0.04833939610908842
ema_26,0.04737104491274913
price_change_5d,0.04656767618821167
macd_diff,0.046547274022407846
dist_sma_200,0.04593701457516533
macd,0.04442662357999511
dist_sma_20,0.04435224222766924
dist_sma_50,0.043668380462693536
stoch_d,0.04350213200205074
stoch_k,0.04334959403063246
rsi_14,0.039358784073805816
